,Path3,Path8,Path14,Path65,Path66
81,0.0,11651.4,10866.1821655,0.0,0.0
82,0.0,9655.6,9657.01972961,0.0,0.0
83,0.0,11628.0,7242.51546478,0.0,0.0
84,0.0,16899.0,8655.6074585,0.0,0.0
85,0.0,8526.6,7114.69855652,0.0,0.0
86,0.0,13910.0,3360.71884766,0.0,0.0
87,0.0,16600.4,8216.04974365,0.0,0.0
88,0.0,10576.4,2490.96228943,0.0,0.0
89,0.0,5312.0,732.544161987,0.0,0.0
90,0.0,0.0,10521.3156738,0.0,0.0
91,0.0,0.0,3138.11194305,0.0,0.0
92,0.0,581.6,5727.80466156,0.0,0.0
93,0.0,5479.4,11201.2832581,0.0,0.0
94,0.0,4118.6,7732.35695801,0.0,0.0
95,0.0,6397.8,16416.5886932,0.0,0.0
96,0.0,8630.2,17591.3712097,0.0,0.0
97,0.0,7751.4,18119.4435608,0.0,0.0
98,0.0,0.0,10748.8153137,0.0,0.0
99,0.0,3698.6,12125.5559448,0.0,0.0
100,0.0,6804.6,12129.9610504,0.0,0.0
101,0.0,8869.6,15870.1514191,0.0,0.0
102,0.0,11937.6,25479.5225861,0.0,0.0
103,0.0,15730.0,28244.3935699,0.0,0.0
104,0.0,10726.5635986,21041.042923,0.0,0.0
105,0.0,10044.0,21021.2249908,0.0,0.0
106,0.0,9854.0,24378.1597351,0.0,0.0
107,0.0,6192.0,20306.7764954,0.0,0.0
108,0.0,10464.0,20015.6325745,0.0,0.0
109,0.0,11333.0,17303.7120789,0.0,0.0
110,0.0,4746.0,16762.1729248,0.0,0.0
111,0.0,11052.0,21649.276532,0.0,0.0
112,0.0,7385.0,19822.8584167,0.0,0.0
113,0.0,1038.0,15819.1908936,0.0,0.0
114,0.0,10045.0,21262.682251,0.0,0.0
115,0.0,11373.0,20021.9160156,0.0,0.0
116,0.0,18669.0,23510.2329102,0.0,0.0
117,0.0,19255.0,24115.2884521,0.0,0.0
118,0.0,17555.0,19706.2240601,0.0,0.0
119,0.0,12147.0,14995.2534485,0.0,0.0
120,0.0,15517.0,15524.4302368,0.0,0.0
121,0.0,16422.0,10330.1025848,0.0,0.0
122,0.0,22083.0,8915.49920654,0.0,0.0
123,2300.9399929,21399.0,9056.11102295,0.0,0.0
124,8962.10001183,20054.0,11156.9349365,0.0,0.0
125,1446.97970581,19575.0,8004.87921143,0.0,0.0
126,0.0,16801.0,11235.986557,0.0,0.0
127,0.0,17558.0,14140.1102295,0.0,0.0
128,0.0,19135.0,11438.0629578,0.0,0.0
129,0.0,11744.0,11086.4589233,0.0,0.0
130,2941.29995537,10528.0,10500.8480148,0.0,0.0
131,10933.3198538,12026.0,12981.5257568,0.0,0.0
132,0.0,9697.0,7826.54032898,0.0,0.0
133,0.0,7403.0,9244.59208679,0.0,0.0
134,0.0,2062.0,2489.70787048,0.0,0.0
135,0.0,8111.0,10830.665657,0.0,0.0
136,491.060138702,9028.0,15590.0844727,0.0,0.0
137,0.0,2876.0,11526.9606171,0.0,0.0
138,0.0,718.0,9502.94311523,0.0,0.0
139,0.0,6191.0,13513.8158607,0.0,0.0
140,0.0,0.0,4400.95589447,0.0,0.0
141,0.0,0.0,4492.20021057,0.0,0.0
142,0.0,0.0,13195.9818726,0.0,0.0
143,0.0,2191.0,18724.2684937,0.0,0.0
144,0.0,1009.0,17102.809845,0.0,0.0
145,0.0,1020.0,16021.7622528,0.0,0.0
146,0.0,2125.0,13790.1072998,0.0,0.0
147,0.0,2066.0,13415.7441101,0.0,0.0
148,0.0,0.0,9652.49572754,0.0,0.0
149,0.0,0.0,14259.9476166,0.0,0.0
150,8748.18006134,3581.0,22350.2940674,0.0,0.0
151,0.0,922.0,19384.3378906,0.0,0.0
152,0.0,0.0,11778.5038605,0.0,0.0
153,0.0,3797.0,14207.3626709,0.0,0.0
154,0.0,0.0,11217.4677734,0.0,0.0
155,448.079986572,104.0,6978.28227234,0.0,0.0
156,0.0,0.0,5592.348526,0.0,0.0
157,0.0,0.0,4185.30701447,0.0,0.0
158,0.0,0.0,7363.24258423,0.0,0.0
159,0.0,181.0,10240.0066757,0.0,0.0
160,0.0,0.0,2631.61868858,0.0,0.0
161,0.0,0.0,0.0,0.0,0.0
162,0.0,0.0,1247.69955444,0.0,0.0
163,0.0,0.0,3058.99914932,0.0,0.0
164,0.0,4335.0,1768.62052917,0.0,0.0
165,0.0,4002.0,346.144981384,0.0,0.0
166,0.0,2496.0,1607.72946167,0.0,0.0
167,0.0,4887.0,5823.66093445,0.0,0.0
168,0.0,1847.59396362,1487.06671524,0.0,0.0
169,0.0,0.0,2049.81566238,0.0,0.0
170,0.0,2532.0,4096.62714386,0.0,0.0
171,5304.63985443,2607.0,4525.42166901,0.0,0.0
172,0.0,1637.1879425,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0,0.0
174,0.0,1305.0,0.0,0.0,0.0
175,0.0,349.0,0.0,0.0,0.0
176,3952.72015953,1689.0,0.0,0.0,0.0
177,14384.4603271,3846.0,0.0,0.0,0.0
178,2802.63973618,8281.0,0.0,0.0,0.0
179,0.0,0.0,0.0,0.0,0.0
180,0.0,1807.0,0.0,0.0,0.0
181,13362.6800079,11306.0,0.0,0.0,0.0
182,15700.9398994,7535.0,0.0,0.0,0.0
183,0.0,774.0,0.0,0.0,0.0
184,239.179962158,8968.0,0.0,0.0,0.0
185,11494.8800812,9287.0,0.0,0.0,0.0
