,PNW
154,250802.1742
155,225919.0185
156,246361.7524
157,281251.336
158,310825.8641
159,321593.1703
160,303564.0237
161,323902.3768
162,333304.6861
163,306738.2321
164,326235.4677
165,314196.7929
166,320572.6689
167,321884.033
168,336686.9482
169,303396.9315
170,292022.8891
171,319736.5787
172,335705.3863
173,341434.8601
174,335115.12
175,328833.4519
176,303028.09
177,323663.7184
178,326138.7838
179,320828.5465
180,323625.5132
181,304806.512
182,284512.0986
183,250937.7666
184,216694.16
185,245252.6937
186,226989.5781
187,220706.8556
188,252159.4969
189,256855.7078
190,233111.1734
191,219100.7182
192,209542.3245
193,227352.9271
194,237173.1251
195,229827.0615
196,192576.1555
197,174986.2231
198,146881.1267
199,194183.1395
200,178737.8958
201,191593.8108
202,173298.6206
203,173361.4503
204,158654.3459
205,136143.3509
206,168179.8524
207,168257.6476
208,167115.3611
209,155348.3403
210,148265.2966
211,107299.8114
212,87628.55164
213,134143.4555
214,152727.5391
215,166631.448
216,154228.9183
217,138382.9059
218,102968.5429
219,90202.28199
220,127813.7607
221,133837.0087
222,137098.8115
223,126645.3664
224,130608.7662
225,114855.0798
226,91310.013
227,142701.737
228,152169.1629
229,124588.2226
230,106233.7817
231,118216.7256
232,70763.18323
233,63520.004
234,127504.4932
235,131060.8812
236,143989.6912
237,111691.4657
238,109662.4287
239,87832.45881
240,63721.98049
241,116013.5625
242,117296.4016
243,109444.3794
244,117869.909
245,112387.1015
246,63422.3617
247,58998.0133
248,85434.70561
249,114019.4383
250,104493.3702
251,86753.11509
252,86462.52792
253,85008.52537
254,82287.65153
255,120666.0358
256,101904.6333
257,103928.733
258,111057.402
259,108105.2688
260,86041.13673
261,68721.63099
262,82315.17489
263,117134.4121
264,110954.9807
265,110627.1061
266,118152.6355
267,93864.47363
268,87046.03451
269,142153.2038
270,120389.707
271,137806.773
272,129793.9997
273,136852.014
274,131128.8922
275,92539.57756
276,113908.0333
277,148007.9901
278,153531.5458
279,133367.1423
280,157140.5746
281,135151.5347
282,99204.05665
283,156418.7815
284,159019.989
285,153945.2977
286,138896.1996
287,137355.3051
288,125388.7275
289,109715.1338
290,142472.9657
291,127996.6843
292,105828.1512
293,89895.1506
294,106895.8949
295,101612.4386
296,79094.3958
297,102855.5116
298,123311.0194
299,116972.1417
300,129252.294
301,119611.6848
302,104039.3402
303,87169.34781
304,148289.7507
305,150281.6029
306,171032.1841
307,178620.6656
308,174370.4888
309,141126.2213
310,95423.02493
311,142380.1256
312,166956.9201
313,153841.9257
314,148616.2854
315,125798.8492
316,110435.1019
317,83000.84721
318,141158.3318
319,156189.1326
320,161494.4163
321,167622.5263
322,160859.0712
323,139478.0544
324,142801.7692
325,169627.1366
326,196746.5377
327,208649.4923
