,Generator,Time,Value,Zones,Type
388,MARCH_POINT_GTG1,5,0,PNW,Gas
389,MARCH_POINT_GTG1,6,0,PNW,Gas
390,MARCH_POINT_GTG1,7,0,PNW,Gas
391,MARCH_POINT_GTG1,8,0,PNW,Gas
392,MARCH_POINT_GTG1,9,0,PNW,Gas
393,MARCH_POINT_GTG1,10,0,PNW,Gas
394,MARCH_POINT_GTG1,11,0,PNW,Gas
395,MARCH_POINT_GTG1,12,0,PNW,Gas
396,MARCH_POINT_GTG1,13,0,PNW,Gas
397,MARCH_POINT_GTG1,14,0,PNW,Gas
398,MARCH_POINT_GTG1,15,0,PNW,Gas
399,MARCH_POINT_GTG1,16,0,PNW,Gas
400,MARCH_POINT_GTG1,17,0,PNW,Gas
401,MARCH_POINT_GTG1,18,0,PNW,Gas
402,MARCH_POINT_GTG1,19,0,PNW,Gas
403,MARCH_POINT_GTG1,20,0,PNW,Gas
404,MARCH_POINT_GTG1,21,0,PNW,Gas
405,MARCH_POINT_GTG1,22,0,PNW,Gas
406,MARCH_POINT_GTG1,23,0,PNW,Gas
407,MARCH_POINT_GTG1,24,0,PNW,Gas
408,MARCH_POINT_GTG3,1,0,PNW,Gas
409,MARCH_POINT_GTG3,2,0,PNW,Gas
410,MARCH_POINT_GTG3,3,0,PNW,Gas
411,MARCH_POINT_GTG3,4,0,PNW,Gas
412,MARCH_POINT_GTG3,5,0,PNW,Gas
413,MARCH_POINT_GTG3,6,0,PNW,Gas
414,MARCH_POINT_GTG3,7,0,PNW,Gas
415,MARCH_POINT_GTG3,8,0,PNW,Gas
416,MARCH_POINT_GTG3,9,0,PNW,Gas
417,MARCH_POINT_GTG3,10,0,PNW,Gas
418,MARCH_POINT_GTG3,11,0,PNW,Gas
419,MARCH_POINT_GTG3,12,0,PNW,Gas
420,MARCH_POINT_GTG3,13,0,PNW,Gas
421,MARCH_POINT_GTG3,14,0,PNW,Gas
422,MARCH_POINT_GTG3,15,0,PNW,Gas
423,MARCH_POINT_GTG3,16,0,PNW,Gas
424,MARCH_POINT_GTG3,17,0,PNW,Gas
425,MARCH_POINT_GTG3,18,0,PNW,Gas
426,MARCH_POINT_GTG3,19,0,PNW,Gas
427,MARCH_POINT_GTG3,20,0,PNW,Gas
428,MARCH_POINT_GTG3,21,0,PNW,Gas
429,MARCH_POINT_GTG3,22,0,PNW,Gas
430,MARCH_POINT_GTG3,23,0,PNW,Gas
431,MARCH_POINT_GTG3,24,0,PNW,Gas
432,MARCH_POINT_GTG2,1,0,PNW,Gas
433,MARCH_POINT_GTG2,2,0,PNW,Gas
434,MARCH_POINT_GTG2,3,0,PNW,Gas
435,MARCH_POINT_GTG2,4,0,PNW,Gas
436,MARCH_POINT_GTG2,5,0,PNW,Gas
437,MARCH_POINT_GTG2,6,0,PNW,Gas
438,MARCH_POINT_GTG2,7,0,PNW,Gas
439,MARCH_POINT_GTG2,8,0,PNW,Gas
440,MARCH_POINT_GTG2,9,0,PNW,Gas
441,MARCH_POINT_GTG2,10,0,PNW,Gas
442,MARCH_POINT_GTG2,11,0,PNW,Gas
443,MARCH_POINT_GTG2,12,0,PNW,Gas
444,MARCH_POINT_GTG2,13,0,PNW,Gas
445,MARCH_POINT_GTG2,14,0,PNW,Gas
446,MARCH_POINT_GTG2,15,0,PNW,Gas
447,MARCH_POINT_GTG2,16,0,PNW,Gas
448,MARCH_POINT_GTG2,17,0,PNW,Gas
449,MARCH_POINT_GTG2,18,0,PNW,Gas
450,MARCH_POINT_GTG2,19,0,PNW,Gas
451,MARCH_POINT_GTG2,20,0,PNW,Gas
452,MARCH_POINT_GTG2,21,0,PNW,Gas
453,MARCH_POINT_GTG2,22,0,PNW,Gas
454,MARCH_POINT_GTG2,23,0,PNW,Gas
455,MARCH_POINT_GTG2,24,0,PNW,Gas
456,TRANSALTA_CENTRALIA_1,1,0,PNW,Coal
457,TRANSALTA_CENTRALIA_1,2,0,PNW,Coal
458,TRANSALTA_CENTRALIA_1,3,0,PNW,Coal
459,TRANSALTA_CENTRALIA_1,4,0,PNW,Coal
460,TRANSALTA_CENTRALIA_1,5,0,PNW,Coal
461,TRANSALTA_CENTRALIA_1,6,0,PNW,Coal
462,TRANSALTA_CENTRALIA_1,7,0,PNW,Coal
463,TRANSALTA_CENTRALIA_1,8,0,PNW,Coal
464,TRANSALTA_CENTRALIA_1,9,0,PNW,Coal
465,TRANSALTA_CENTRALIA_1,10,0,PNW,Coal
466,TRANSALTA_CENTRALIA_1,11,0,PNW,Coal
467,TRANSALTA_CENTRALIA_1,12,0,PNW,Coal
468,TRANSALTA_CENTRALIA_1,13,0,PNW,Coal
