Year,Month,Day,Hour,PNW
2010,1,16,8,19329.32692
2010,1,16,9,19471.78062
2010,1,16,10,19303.61965
2010,1,16,11,18838.23793
2010,1,16,12,18305.867
2010,1,16,13,17956.95768
2010,1,16,14,17798.50958
2010,1,16,15,18170.05282
2010,1,16,16,19243.24169
2010,1,16,17,20294.28189
2010,1,16,18,20095.90889
2010,1,16,19,19562.88273
2010,1,16,20,18803.94163
2010,1,16,21,17538.7751
2010,1,16,22,16231.22894
2010,1,16,23,16230.98836
2010,1,17,0,15355.73135
2010,1,17,1,14816.06998
2010,1,17,2,14664.08603
2010,1,17,3,14580.00358
2010,1,17,4,13826.8538
2010,1,17,5,14448.90418
2010,1,17,6,15921.10747
2010,1,17,7,17267.53484
2010,1,17,8,17852.56619
2010,1,17,9,18024.41944
2010,1,17,10,17873.63395
2010,1,17,11,17644.58908
2010,1,17,12,17458.79331
2010,1,17,13,17216.0563
2010,1,17,14,16929.88166
2010,1,17,15,17168.15607
2010,1,17,16,18124.74834
2010,1,17,17,19706.30985
2010,1,17,18,19528.51398
2010,1,17,19,18964.92897
2010,1,17,20,18228.714
2010,1,17,21,17120.10361
2010,1,17,22,16708.303
2010,1,17,23,15507.46857
2010,1,18,0,14820.91668
2010,1,18,1,14591.16885
2010,1,18,2,14260.44171
2010,1,18,3,14189.98228
2010,1,18,4,13894.2805
2010,1,18,5,15232.67741
2010,1,18,6,17483.86599
2010,1,18,7,18973.05867
2010,1,18,8,19202.22934
2010,1,18,9,19048.3303
2010,1,18,10,18881.36869
2010,1,18,11,18376.28444
2010,1,18,12,18066.87397
2010,1,18,13,17719.43151
2010,1,18,14,17573.36154
2010,1,18,15,17795.34241
2010,1,18,16,18960.02063
2010,1,18,17,20714.04578
2010,1,18,18,20946.41385
2010,1,18,19,20550.88137
2010,1,18,20,19675.04611
2010,1,18,21,18112.45429
2010,1,18,22,16350.36267
2010,1,18,23,15045.72206
2010,1,19,0,14247.00445
2010,1,19,1,13879.23742
2010,1,19,2,13813.09594
2010,1,19,3,13953.45063
2010,1,19,4,14575.88876
2010,1,19,5,16342.40939
2010,1,19,6,19599.94408
2010,1,19,7,21236.26379
2010,1,19,8,20433.41092
2010,1,19,9,19658.23184
2010,1,19,10,19096.55922
2010,1,19,11,18550.14211
2010,1,19,12,18135.33773
2010,1,19,13,17782.85077
2010,1,19,14,17561.93051
2010,1,19,15,17935.2814
2010,1,19,16,19123.20861
2010,1,19,17,20894.0462
2010,1,19,18,21118.57907
2010,1,19,19,20661.52768
2010,1,19,20,19780.14204
2010,1,19,21,18435.60083
2010,1,19,22,17023.30369
2010,1,19,23,15756.49316
2010,1,20,0,14970.59549
2010,1,20,1,14651.40035
2010,1,20,2,14533.68006
2010,1,20,3,14551.27228
2010,1,20,4,15081.84537
2010,1,20,5,16366.15451
2010,1,20,6,18163.82158
2010,1,20,7,19608.3944
2010,1,20,8,20013.3927
2010,1,20,9,20151.53937
2010,1,20,10,19858.54903
2010,1,20,11,19357.12248
2010,1,20,12,19161.43032
2010,1,20,13,18840.04987
2010,1,20,14,18602.32923
2010,1,20,15,18895.83105
2010,1,20,16,20008.50614
2010,1,20,17,21158.18157
2010,1,20,18,20874.75999
2010,1,20,19,20291.93313
2010,1,20,20,19377.82944
2010,1,20,21,18149.61299
2010,1,20,22,16651.37851
2010,1,20,23,15520.51748
2010,1,21,0,14632.20207
2010,1,21,1,14218.26108
2010,1,21,2,13949.84
2010,1,21,3,13945.12899
2010,1,21,4,14313.57875
2010,1,21,5,15303.74063
2010,1,21,6,16641.58471
2010,1,21,7,17830.88115
2010,1,21,8,17954.14789
2010,1,21,9,18045.19308
2010,1,21,10,17924.01857
2010,1,21,11,17485.54931
2010,1,21,12,17118.16601
2010,1,21,13,16656.83098
2010,1,21,14,16351.36696
2010,1,21,15,16453.14633
2010,1,21,16,17173.4053
2010,1,21,17,18849.27773
2010,1,21,18,19043.78471
2010,1,21,19,18610.82894
2010,1,21,20,18112.31788
2010,1,21,21,17299.99604
2010,1,21,22,16095.99682
2010,1,21,23,15102.6947
2010,1,22,0,14590.71841
2010,1,22,1,14295.74969
2010,1,22,2,14158.94348
2010,1,22,3,14206.18326
2010,1,22,4,14738.87348
2010,1,22,5,16091.89081
2010,1,22,6,18166.94701
2010,1,22,7,19729.87805
2010,1,22,8,20015.93939
2010,1,22,9,20218.75343
2010,1,22,10,20180.23342
2010,1,22,11,19865.6428
2010,1,22,12,19400.4106
2010,1,22,13,19014.94904
2010,1,22,14,18840.25586
2010,1,22,15,18741.84525
2010,1,22,16,19526.3589
2010,1,22,17,20573.96852
2010,1,22,18,20116.40119
2010,1,22,19,19425.69271
2010,1,22,20,18472.7813
2010,1,22,21,17282.9931
2010,1,22,22,16193.91666
2010,1,22,23,15112.23547
2010,1,23,0,14165.78887
2010,1,23,1,13722.6743
2010,1,23,2,13577.6427
2010,1,23,3,13559.99332
2010,1,23,4,13809.44572
2010,1,23,5,14498.5792
2010,1,23,6,15649.75649
2010,1,23,7,16992.2059
2010,1,23,8,17786.88951
2010,1,23,9,17980.55976
2010,1,23,10,17750.20419
2010,1,23,11,17298.62165
2010,1,23,12,16753.2548
2010,1,23,13,16219.88729
2010,1,23,14,15844.9547
2010,1,23,15,15853.14652
2010,1,23,16,16510.07268
2010,1,23,17,18227.08145
2010,1,23,18,18418.61179
2010,1,23,19,18032.71061
2010,1,23,20,17526.94321
2010,1,23,21,16840.97134
2010,1,23,22,15451.9359
2010,1,23,23,14551.59838
2010,1,24,0,13887.70076
2010,1,24,1,13668.73232
2010,1,24,2,13474.86379
2010,1,24,3,13549.4552
2010,1,24,4,13730.60627
2010,1,24,5,14372.00042
2010,1,24,6,15540.16386
2010,1,24,7,16874.38854
2010,1,24,8,17591.86992
2010,1,24,9,17978.58899
2010,1,24,10,18191.11332
2010,1,24,11,18271.20009
2010,1,24,12,18495.7452
2010,1,24,13,18544.26078
2010,1,24,14,18540.14802
2010,1,24,15,18696.13199
2010,1,24,16,19076.1171
2010,1,24,17,19965.50924
2010,1,24,18,19872.20865
2010,1,24,19,19405.28213
2010,1,24,20,18709.49078
2010,1,24,21,17491.53564
2010,1,24,22,15996.59673
2010,1,24,23,14724.82435
2010,1,25,0,13829.92692
2010,1,25,1,13400.68517
2010,1,25,2,13433.24307
2010,1,25,3,13587.75095
2010,1,25,4,14168.86117
2010,1,25,5,15645.35484
2010,1,25,6,18030.39019
2010,1,25,7,19367.57167
2010,1,25,8,18765.81934
2010,1,25,9,18340.5247
2010,1,25,10,18165.57392
2010,1,25,11,17719.3531
2010,1,25,12,17539.42594
2010,1,25,13,17451.33763
2010,1,25,14,17419.06687
2010,1,25,15,17553.13159
2010,1,25,16,18139.8693
2010,1,25,17,19589.62202
2010,1,25,18,19768.41741
2010,1,25,19,19331.98888
2010,1,25,20,18617.67129
2010,1,25,21,17548.20663
2010,1,25,22,16196.97108
2010,1,25,23,14979.54406
2010,1,26,0,14264.11412
2010,1,26,1,13845.78537
2010,1,26,2,13730.53356
2010,1,26,3,13923.65955
2010,1,26,4,14544.04019
2010,1,26,5,16151.1733
2010,1,26,6,18638.02666
2010,1,26,7,19997.73623
2010,1,26,8,19361.73515
2010,1,26,9,18555.70248
2010,1,26,10,17975.81035
2010,1,26,11,17449.09436
2010,1,26,12,17160.91098
2010,1,26,13,16941.2304
2010,1,26,14,16857.53707
2010,1,26,15,16790.56609
2010,1,26,16,17367.15345
2010,1,26,17,18757.73507
2010,1,26,18,19011.35885
2010,1,26,19,18623.12224
2010,1,26,20,18094.10978
2010,1,26,21,17198.24133
2010,1,26,22,16036.61574
2010,1,26,23,14936.72517
2010,1,27,0,14200.38031
2010,1,27,1,13822.49896
2010,1,27,2,13751.04516
2010,1,27,3,13807.26583
2010,1,27,4,14211.93404
2010,1,27,5,15244.52081
2010,1,27,6,16782.9878
2010,1,27,7,17977.64216
2010,1,27,8,18022.39574
2010,1,27,9,18057.34416
2010,1,27,10,17649.06243
2010,1,27,11,17322.99235
2010,1,27,12,16897.71316
2010,1,27,13,16474.48139
2010,1,27,14,16287.77648
2010,1,27,15,16359.9804
2010,1,27,16,16919.89659
2010,1,27,17,18167.42534
2010,1,27,18,18366.31244
2010,1,27,19,17951.59501
2010,1,27,20,17473.17402
2010,1,27,21,16673.56068
2010,1,27,22,15570.06425
2010,1,27,23,14586.46832
2010,1,28,0,13936.23369
2010,1,28,1,13649.56021
2010,1,28,2,13455.04252
2010,1,28,3,13514.6284
2010,1,28,4,13839.9552
2010,1,28,5,14799.38594
2010,1,28,6,16154.33445
2010,1,28,7,17161.2423
2010,1,28,8,17288.49788
2010,1,28,9,17236.90414
2010,1,28,10,17091.85182
2010,1,28,11,16875.64388
2010,1,28,12,16466.75847
2010,1,28,13,16141.10652
2010,1,28,14,15951.1977
2010,1,28,15,16171.58275
2010,1,28,16,16879.24879
2010,1,28,17,18085.47857
2010,1,28,18,18350.58816
2010,1,28,19,18012.07876
2010,1,28,20,17571.58454
2010,1,28,21,16676.49472
2010,1,28,22,15420.18813
2010,1,28,23,14352.20453
2010,1,29,0,13699.50805
2010,1,29,1,13411.54049
2010,1,29,2,13230.33631
2010,1,29,3,13324.29157
2010,1,29,4,14016.08198
2010,1,29,5,15463.06682
2010,1,29,6,17773.82773
2010,1,29,7,19325.46633
2010,1,29,8,19078.29486
2010,1,29,9,18636.15024
2010,1,29,10,18163.08404
2010,1,29,11,17661.20741
2010,1,29,12,17175.12543
2010,1,29,13,16790.43908
2010,1,29,14,16491.93064
2010,1,29,15,16474.83578
