,Generator,Time,Value,Zones
6370,UNIV_OF_WA_DG7,59,0,PNW
6371,UNIV_OF_WA_DG7,60,0,PNW
6372,UNIV_OF_WA_DG7,61,0,PNW
6373,UNIV_OF_WA_DG7,62,0,PNW
6374,UNIV_OF_WA_DG7,63,0,PNW
6375,UNIV_OF_WA_DG7,64,0,PNW
6376,UNIV_OF_WA_DG7,65,0,PNW
6377,UNIV_OF_WA_DG7,66,0,PNW
6378,UNIV_OF_WA_DG7,67,0,PNW
6379,UNIV_OF_WA_DG7,68,0,PNW
6380,UNIV_OF_WA_DG7,69,0,PNW
6381,UNIV_OF_WA_DG7,70,0,PNW
6382,UNIV_OF_WA_DG7,71,0,PNW
6383,UNIV_OF_WA_DG7,72,0,PNW
6384,UNIV_OF_WA_DG6,49,0,PNW
6385,UNIV_OF_WA_DG6,50,0,PNW
6386,UNIV_OF_WA_DG6,51,0,PNW
6387,UNIV_OF_WA_DG6,52,0,PNW
6388,UNIV_OF_WA_DG6,53,0,PNW
6389,UNIV_OF_WA_DG6,54,0,PNW
6390,UNIV_OF_WA_DG6,55,0,PNW
6391,UNIV_OF_WA_DG6,56,0,PNW
6392,UNIV_OF_WA_DG6,57,0,PNW
6393,UNIV_OF_WA_DG6,58,0,PNW
6394,UNIV_OF_WA_DG6,59,0,PNW
6395,UNIV_OF_WA_DG6,60,0,PNW
6396,UNIV_OF_WA_DG6,61,0,PNW
6397,UNIV_OF_WA_DG6,62,0,PNW
6398,UNIV_OF_WA_DG6,63,0,PNW
6399,UNIV_OF_WA_DG6,64,0,PNW
6400,UNIV_OF_WA_DG6,65,0,PNW
6401,UNIV_OF_WA_DG6,66,0,PNW
6402,UNIV_OF_WA_DG6,67,0,PNW
6403,UNIV_OF_WA_DG6,68,0,PNW
6404,UNIV_OF_WA_DG6,69,0,PNW
6405,UNIV_OF_WA_DG6,70,0,PNW
6406,UNIV_OF_WA_DG6,71,0,PNW
6407,UNIV_OF_WA_DG6,72,0,PNW
6408,UNIV_OF_WA_DG3,49,0,PNW
6409,UNIV_OF_WA_DG3,50,0,PNW
6410,UNIV_OF_WA_DG3,51,0,PNW
6411,UNIV_OF_WA_DG3,52,0,PNW
6412,UNIV_OF_WA_DG3,53,0,PNW
6413,UNIV_OF_WA_DG3,54,0,PNW
6414,UNIV_OF_WA_DG3,55,0,PNW
6415,UNIV_OF_WA_DG3,56,0,PNW
6416,UNIV_OF_WA_DG3,57,0,PNW
6417,UNIV_OF_WA_DG3,58,0,PNW
6418,UNIV_OF_WA_DG3,59,0,PNW
6419,UNIV_OF_WA_DG3,60,0,PNW
6420,UNIV_OF_WA_DG3,61,0,PNW
6421,UNIV_OF_WA_DG3,62,0,PNW
6422,UNIV_OF_WA_DG3,63,0,PNW
6423,UNIV_OF_WA_DG3,64,0,PNW
6424,UNIV_OF_WA_DG3,65,0,PNW
6425,UNIV_OF_WA_DG3,66,0,PNW
6426,UNIV_OF_WA_DG3,67,0,PNW
6427,UNIV_OF_WA_DG3,68,0,PNW
6428,UNIV_OF_WA_DG3,69,0,PNW
6429,UNIV_OF_WA_DG3,70,0,PNW
6430,UNIV_OF_WA_DG3,71,0,PNW
6431,UNIV_OF_WA_DG3,72,0,PNW
6432,CHEHALIS_CA,49,0,PNW
6433,CHEHALIS_CA,50,0,PNW
6434,CHEHALIS_CA,51,0,PNW
6435,CHEHALIS_CA,52,0,PNW
6436,CHEHALIS_CA,53,0,PNW
6437,CHEHALIS_CA,54,0,PNW
6438,CHEHALIS_CA,55,0,PNW
6439,CHEHALIS_CA,56,0,PNW
6440,CHEHALIS_CA,57,0,PNW
6441,CHEHALIS_CA,58,0,PNW
6442,CHEHALIS_CA,59,0,PNW
6443,CHEHALIS_CA,60,0,PNW
6444,CHEHALIS_CA,61,0,PNW
6445,CHEHALIS_CA,62,0,PNW
6446,CHEHALIS_CA,63,0,PNW
6447,CHEHALIS_CA,64,0,PNW
6448,CHEHALIS_CA,65,0,PNW
6449,CHEHALIS_CA,66,0,PNW
6450,CHEHALIS_CA,67,0,PNW
6451,CHEHALIS_CA,68,0,PNW
6452,CHEHALIS_CA,69,0,PNW
6453,CHEHALIS_CA,70,0,PNW
6454,CHEHALIS_CA,71,0,PNW
6455,CHEHALIS_CA,72,0,PNW
6456,KLAMATH_COGEN_CT2,49,0,PNW
6457,KLAMATH_COGEN_CT2,50,0,PNW
6458,KLAMATH_COGEN_CT2,51,0,PNW
6459,KLAMATH_COGEN_CT2,52,0,PNW
6460,KLAMATH_COGEN_CT2,53,0,PNW
6461,KLAMATH_COGEN_CT2,54,0,PNW
6462,KLAMATH_COGEN_CT2,55,0,PNW
6463,KLAMATH_COGEN_CT2,56,0,PNW
6464,KLAMATH_COGEN_CT2,57,0,PNW
6465,KLAMATH_COGEN_CT2,58,0,PNW
6466,KLAMATH_COGEN_CT2,59,0,PNW
6467,KLAMATH_COGEN_CT2,60,0,PNW
6468,KLAMATH_COGEN_CT2,61,0,PNW
6469,KLAMATH_COGEN_CT2,62,0,PNW
6470,KLAMATH_COGEN_CT2,63,0,PNW
6471,KLAMATH_COGEN_CT2,64,0,PNW
6472,KLAMATH_COGEN_CT2,65,0,PNW
6473,KLAMATH_COGEN_CT2,66,0,PNW
6474,KLAMATH_COGEN_CT2,67,0,PNW
6475,KLAMATH_COGEN_CT2,68,0,PNW
6476,KLAMATH_COGEN_CT2,69,0,PNW
6477,KLAMATH_COGEN_CT2,70,0,PNW
6478,KLAMATH_COGEN_CT2,71,0,PNW
6479,KLAMATH_COGEN_CT2,72,0,PNW
6480,KLAMATH_COGEN_CT1,49,0,PNW
6481,KLAMATH_COGEN_CT1,50,0,PNW
6482,KLAMATH_COGEN_CT1,51,0,PNW
6483,KLAMATH_COGEN_CT1,52,0,PNW
6484,KLAMATH_COGEN_CT1,53,0,PNW
6485,KLAMATH_COGEN_CT1,54,0,PNW
6486,KLAMATH_COGEN_CT1,55,0,PNW
6487,KLAMATH_COGEN_CT1,56,0,PNW
6488,KLAMATH_COGEN_CT1,57,0,PNW
6489,KLAMATH_COGEN_CT1,58,0,PNW
6490,KLAMATH_COGEN_CT1,59,0,PNW
6491,KLAMATH_COGEN_CT1,60,0,PNW
6492,KLAMATH_COGEN_CT1,61,0,PNW
6493,KLAMATH_COGEN_CT1,62,0,PNW
6494,KLAMATH_COGEN_CT1,63,0,PNW
6495,KLAMATH_COGEN_CT1,64,0,PNW
6496,KLAMATH_COGEN_CT1,65,0,PNW
6497,KLAMATH_COGEN_CT1,66,0,PNW
6498,KLAMATH_COGEN_CT1,67,0,PNW
6499,KLAMATH_COGEN_CT1,68,0,PNW
6500,KLAMATH_COGEN_CT1,69,0,PNW
6501,KLAMATH_COGEN_CT1,70,0,PNW
6502,KLAMATH_COGEN_CT1,71,0,PNW
6503,KLAMATH_COGEN_CT1,72,0,PNW
6504,BOULDER_PARK_5,49,0,PNW
6505,BOULDER_PARK_5,50,0,PNW
6506,BOULDER_PARK_5,51,0,PNW
6507,BOULDER_PARK_5,52,0,PNW
6508,BOULDER_PARK_5,53,0,PNW
6509,BOULDER_PARK_5,54,0,PNW
6510,BOULDER_PARK_5,55,0,PNW
6511,BOULDER_PARK_5,56,0,PNW
6512,BOULDER_PARK_5,57,0,PNW
6513,BOULDER_PARK_5,58,0,PNW
6514,BOULDER_PARK_5,59,0,PNW
6515,BOULDER_PARK_5,60,0,PNW
6516,BOULDER_PARK_5,61,0,PNW
6517,BOULDER_PARK_5,62,0,PNW
6518,BOULDER_PARK_5,63,0,PNW
6519,BOULDER_PARK_5,64,0,PNW
6520,BOULDER_PARK_5,65,0,PNW
6521,BOULDER_PARK_5,66,0,PNW
6522,BOULDER_PARK_5,67,0,PNW
6523,BOULDER_PARK_5,68,0,PNW
6524,BOULDER_PARK_5,69,0,PNW
6525,BOULDER_PARK_5,70,0,PNW
6526,BOULDER_PARK_5,71,0,PNW
6527,BOULDER_PARK_5,72,0,PNW
6528,BOULDER_PARK_4,49,0,PNW
6529,BOULDER_PARK_4,50,0,PNW
6530,BOULDER_PARK_4,51,0,PNW
6531,BOULDER_PARK_4,52,0,PNW
6532,BOULDER_PARK_4,53,0,PNW
6533,BOULDER_PARK_4,54,0,PNW
6534,BOULDER_PARK_4,55,0,PNW
6535,BOULDER_PARK_4,56,0,PNW
6536,BOULDER_PARK_4,57,0,PNW
6537,BOULDER_PARK_4,58,0,PNW
6538,BOULDER_PARK_4,59,0,PNW
6539,BOULDER_PARK_4,60,0,PNW
6540,BOULDER_PARK_4,61,0,PNW
6541,BOULDER_PARK_4,62,0,PNW
6542,BOULDER_PARK_4,63,0,PNW
6543,BOULDER_PARK_4,64,0,PNW
6544,BOULDER_PARK_4,65,0,PNW
6545,BOULDER_PARK_4,66,0,PNW
6546,BOULDER_PARK_4,67,0,PNW
6547,BOULDER_PARK_4,68,0,PNW
6548,BOULDER_PARK_4,69,0,PNW
6549,BOULDER_PARK_4,70,0,PNW
6550,BOULDER_PARK_4,71,0,PNW
6551,BOULDER_PARK_4,72,0,PNW
6552,BOULDER_PARK_6,49,0,PNW
6553,BOULDER_PARK_6,50,0,PNW
6554,BOULDER_PARK_6,51,0,PNW
6555,BOULDER_PARK_6,52,0,PNW
6556,BOULDER_PARK_6,53,0,PNW
6557,BOULDER_PARK_6,54,0,PNW
6558,BOULDER_PARK_6,55,0,PNW
6559,BOULDER_PARK_6,56,0,PNW
6560,BOULDER_PARK_6,57,0,PNW
6561,BOULDER_PARK_6,58,0,PNW
6562,BOULDER_PARK_6,59,0,PNW
6563,BOULDER_PARK_6,60,0,PNW
6564,BOULDER_PARK_6,61,0,PNW
6565,BOULDER_PARK_6,62,0,PNW
6566,BOULDER_PARK_6,63,0,PNW
6567,BOULDER_PARK_6,64,0,PNW
6568,BOULDER_PARK_6,65,0,PNW
6569,BOULDER_PARK_6,66,0,PNW
6570,BOULDER_PARK_6,67,0,PNW
6571,BOULDER_PARK_6,68,0,PNW
6572,BOULDER_PARK_6,69,0,PNW
6573,BOULDER_PARK_6,70,0,PNW
6574,BOULDER_PARK_6,71,0,PNW
6575,BOULDER_PARK_6,72,0,PNW
6576,BOULDER_PARK_1,49,0,PNW
6577,BOULDER_PARK_1,50,0,PNW
6578,BOULDER_PARK_1,51,0,PNW
