Year,Month,Day,Hour,Wind
2010,10,18,15,5.935926418
2010,10,18,16,1.679979175
2010,10,18,17,0
2010,10,18,18,0.223997223
2010,10,18,19,6.495919476
2010,10,18,20,2.127973622
2010,10,18,21,0.67199167
2010,10,18,22,0
2010,10,18,23,0.111998612
2010,10,19,0,0.895988893
2010,10,19,1,0
2010,10,19,2,1.119986117
2010,10,19,3,1.455981952
2010,10,19,4,4.143948632
2010,10,19,5,3.919951408
2010,10,19,6,5.263934748
2010,10,19,7,4.367945855
2010,10,19,8,1.791977787
2010,10,19,9,2.463969457
2010,10,19,10,1.679979175
2010,10,19,11,1.231984728
2010,10,19,12,9.967876438
2010,10,19,13,14.22382368
2010,10,19,14,7.839902816
2010,10,19,15,42.89546827
2010,10,19,16,89.93488517
2010,10,19,17,171.6938717
2010,10,19,18,223.7732261
2010,10,19,19,222.5412414
2010,10,19,20,119.1665228
2010,10,19,21,119.2785214
2010,10,19,22,88.92689766
2010,10,19,23,53.64733499
2010,10,20,0,46.25542662
2010,10,20,1,23.071714
2010,10,20,2,32.03160294
2010,10,20,3,41.3274877
2010,10,20,4,74.59107537
2010,10,20,5,83.5509643
2010,10,20,6,76.38305315
2010,10,20,7,37.96752935
2010,10,20,8,15.79180424
2010,10,20,9,10.19187366
2010,10,20,10,8.959888933
2010,10,20,11,13.10383756
2010,10,20,12,16.57579453
2010,10,20,13,19.82375426
2010,10,20,14,30.01562793
2010,10,20,15,65.2951906
2010,10,20,16,86.57492682
2010,10,20,17,81.87098513
2010,10,20,18,24.9756904
2010,10,20,19,10.5278695
2010,10,20,20,8.175898651
2010,10,20,21,0.67199167
2010,10,20,22,1.34398334
2010,10,20,23,1.455981952
2010,10,21,0,1.34398334
2010,10,21,1,2.351970845
2010,10,21,2,3.583955573
2010,10,21,3,2.239972233
2010,10,21,4,2.01597501
2010,10,21,5,1.903976398
2010,10,21,6,2.911963903
2010,10,21,7,1.791977787
2010,10,21,8,3.247959738
2010,10,21,9,4.927938913
2010,10,21,10,4.927938913
2010,10,21,11,4.03195002
2010,10,21,12,4.255947243
2010,10,21,13,6.943913923
2010,10,21,14,42.67147104
2010,10,21,15,833.2696708
2010,10,21,16,1800.825677
2010,10,21,17,2390.834363
2010,10,21,18,2793.917367
2010,10,21,19,2709.358415
2010,10,21,20,2641.599255
2010,10,21,21,2604.07972
2010,10,21,22,2553.792343
2010,10,21,23,2378.850512
2010,10,22,0,2017.54299
2010,10,22,1,1558.460681
2010,10,22,2,1234.896692
2010,10,22,3,1105.426297
2010,10,22,4,1012.915444
2010,10,22,5,1104.642307
2010,10,22,6,1214.512945
2010,10,22,7,1260.88037
2010,10,22,8,1097.474396
2010,10,22,9,1290.672001
2010,10,22,10,1327.631543
2010,10,22,11,774.6943969
2010,10,22,12,453.4823786
2010,10,22,13,407.8989437
2010,10,22,14,308.7801724
2010,10,22,15,399.2750506
2010,10,22,16,623.832267
2010,10,22,17,587.8807126
2010,10,22,18,624.5042586
2010,10,22,19,494.025876
2010,10,22,20,382.0272644
2010,10,22,21,419.9947937
2010,10,22,22,325.2439683
2010,10,22,23,180.8777578
2010,10,23,0,239.1170359
2010,10,23,1,157.470048
2010,10,23,2,171.3578758
2010,10,23,3,83.43896569
2010,10,23,4,16.91179036
2010,10,23,5,4.927938913
2010,10,23,6,7.055912535
2010,10,23,7,11.64785561
2010,10,23,8,10.07987505
2010,10,23,9,17.80777925
2010,10,23,10,23.071714
2010,10,23,11,40.76749465
2010,10,23,12,74.03108231
2010,10,23,13,90.270881
2010,10,23,14,118.1585353
2010,10,23,15,145.4861966
2010,10,23,16,304.1882293
2010,10,23,17,312.1401307
2010,10,23,18,211.9013733
2010,10,23,19,240.1250234
2010,10,23,20,602.6645294
2010,10,23,21,745.238762
2010,10,23,22,460.0902967
2010,10,23,23,375.4193463
2010,10,24,0,407.4509492
2010,10,24,1,490.5539191
2010,10,24,2,875.7171446
2010,10,24,3,936.5323907
2010,10,24,4,794.9661456
2010,10,24,5,1020.979344
2010,10,24,6,1165.121557
2010,10,24,7,1778.537953
2010,10,24,8,1348.575283
2010,10,24,9,1890.872561
2010,10,24,10,3002.122786
2010,10,24,11,2918.68382
2010,10,24,12,3245.719766
2010,10,24,13,3030.346436
2010,10,24,14,2928.539698
2010,10,24,15,2671.502884
2010,10,24,16,3115.465381
2010,10,24,17,3478.56488
2010,10,24,18,3520.676358
2010,10,24,19,2874.780364
2010,10,24,20,3031.57842
2010,10,24,21,3191.848434
2010,10,24,22,2741.726014
2010,10,24,23,2304.371435
2010,10,25,0,2326.659159
2010,10,25,1,2525.568693
2010,10,25,2,2683.374737
2010,10,25,3,2605.871698
2010,10,25,4,3021.722543
2010,10,25,5,3290.631209
2010,10,25,6,3504.548558
2010,10,25,7,3542.628086
2010,10,25,8,3596.163422
2010,10,25,9,3699.426142
2010,10,25,10,3700.434129
2010,10,25,11,3611.731229
2010,10,25,12,3673.218467
2010,10,25,13,3578.691638
2010,10,25,14,3450.565227
2010,10,25,15,2819.677047
2010,10,25,16,2673.518859
2010,10,25,17,2937.275589
2010,10,25,18,3186.696498
2010,10,25,19,2181.172962
2010,10,25,20,2528.144661
2010,10,25,21,2347.826896
2010,10,25,22,2383.666452
2010,10,25,23,1975.207515
2010,10,26,0,1762.970146
2010,10,26,1,2391.05836
2010,10,26,2,2460.609498
2010,10,26,3,2490.065133
2010,10,26,4,2640.255271
2010,10,26,5,2364.850685
2010,10,26,6,2522.096736
2010,10,26,7,2381.650477
2010,10,26,8,2360.146744
2010,10,26,9,2243.892185
2010,10,26,10,2432.161851
2010,10,26,11,2377.730526
2010,10,26,12,2546.288436
2010,10,26,13,2487.041171
2010,10,26,14,2768.493682
2010,10,26,15,2778.797554
2010,10,26,16,2495.105071
2010,10,26,17,2088.102116
2010,10,26,18,2336.067042
2010,10,26,19,2323.075203
2010,10,26,20,2349.842871
2010,10,26,21,2486.705175
2010,10,26,22,2431.713856
2010,10,26,23,2401.810227
2010,10,27,0,2406.290172
2010,10,27,1,2273.907813
2010,10,27,2,2153.397306
2010,10,27,3,1886.952609
2010,10,27,4,1587.804318
2010,10,27,5,1198.833139
2010,10,27,6,787.6862358
2010,10,27,7,415.4028507
2010,10,27,8,131.9343645
2010,10,27,9,47.37541273
2010,10,27,10,182.1097426
2010,10,27,11,558.4250778
2010,10,27,12,614.6483808
2010,10,27,13,711.0791854
2010,10,27,14,600.5365557
2010,10,27,15,747.9267287
2010,10,27,16,957.0281367
2010,10,27,17,1240.272626
2010,10,27,18,1338.047414
2010,10,27,19,1312.287733
2010,10,27,20,1074.850676
2010,10,27,21,1035.987158
2010,10,27,22,1071.938712
2010,10,27,23,641.0800532
2010,10,28,0,421.2267785
2010,10,28,1,456.0583467
2010,10,28,2,583.1767709
2010,10,28,3,521.6895331
2010,10,28,4,606.2484849
2010,10,28,5,670.8716839
2010,10,28,6,418.3148146
2010,10,28,7,336.3318308
2010,10,28,8,451.0184092
2010,10,28,9,523.2575137
2010,10,28,10,486.5219691
2010,10,28,11,283.5804847
2010,10,28,12,97.43879215
2010,10,28,13,35.27956267
2010,10,28,14,9.967876438
2010,10,28,15,11.42385839
2010,10,28,16,20.04775149
2010,10,28,17,23.74370567
2010,10,28,18,31.24761265
2010,10,28,19,29.00764042
2010,10,28,20,3.471956962
2010,10,28,21,12.99183895
2010,10,28,22,16.46379591
2010,10,28,23,10.75186672
2010,10,29,0,12.99183895
2010,10,29,1,25.75968068
2010,10,29,2,46.59142245
2010,10,29,3,59.47126279
2010,10,29,4,57.34328917
2010,10,29,5,25.53568346
2010,10,29,6,107.6306658
2010,10,29,7,85.23094348
2010,10,29,8,110.8786255
2010,10,29,9,80.86299762
2010,10,29,10,34.94356684
2010,10,29,11,15.67980563
2010,10,29,12,13.21583618
2010,10,29,13,7.167911146
2010,10,29,14,2.68796668
2010,10,29,15,0.783990282
2010,10,29,16,53.98333082
2010,10,29,17,193.9815954
2010,10,29,18,270.4766472
2010,10,29,19,254.6848429
2010,10,29,20,230.71714
2010,10,29,21,188.9416579
2010,10,29,22,199.1335315
2010,10,29,23,169.5658981
2010,10,30,0,198.125544
2010,10,30,1,203.0534829
2010,10,30,2,171.02188
2010,10,30,3,158.8140313
2010,10,30,4,163.517973
2010,10,30,5,118.0465367
2010,10,30,6,71.23111702
2010,10,30,7,58.79927112
2010,10,30,8,26.54367096
2010,10,30,9,11.98385145
2010,10,30,10,7.727904205
2010,10,30,11,4.255947243
2010,10,30,12,3.135961127
2010,10,30,13,4.03195002
2010,10,30,14,4.591943078
2010,10,30,15,3.35995835
2010,10,30,16,7.167911146
2010,10,30,17,12.54384451
2010,10,30,18,22.62371956
2010,10,30,19,51.40736275
2010,10,30,20,64.39920171
2010,10,30,21,56.44730028
2010,10,30,22,67.98315728
2010,10,30,23,86.68692543
2010,10,31,0,106.6226783
2010,10,31,1,254.9088401
2010,10,31,2,321.9960085
2010,10,31,3,381.2432741
2010,10,31,4,746.9187412
2010,10,31,5,1132.417963
2010,10,31,6,1152.689711
2010,10,31,7,1095.794417
2010,10,31,8,937.7643755
2010,10,31,9,804.8220234
2010,10,31,10,876.3891363
2010,10,31,11,1120.434111
2010,10,31,12,964.7560409
2010,10,31,13,756.2146259
2010,10,31,14,425.3707271
2010,10,31,15,136.9743021
2010,10,31,16,63.83920865
2010,10,31,17,41.55148493
2010,10,31,18,29.45563487
2010,10,31,19,38.86351825
2010,10,31,20,55.99930583
2010,10,31,21,75.71106148
2010,10,31,22,133.1663493
2010,10,31,23,158.0300411
2010,11,1,0,183.0057315
2010,11,1,1,196.2215676
2010,11,1,2,262.748743
2010,11,1,3,363.6594921
2010,11,1,4,447.4344536
2010,11,1,5,478.458069
2010,11,1,6,523.7055081
2010,11,1,7,664.1517672
2010,11,1,8,857.0133764
2010,11,1,9,1016.835395
2010,11,1,10,1591.500272
2010,11,1,11,1896.58449
2010,11,1,12,2282.307708
2010,11,1,13,2361.26673
2010,11,1,14,1806.649605
2010,11,1,15,1507.613312
2010,11,1,16,1197.489156
2010,11,1,17,1135.665922
2010,11,1,18,1344.095339
2010,11,1,19,1239.600634
2010,11,1,20,931.4924532
2010,11,1,21,790.7101983
2010,11,1,22,1173.297456
2010,11,1,23,1724.666621
2010,11,2,0,1883.032658
2010,11,2,1,2027.398868
2010,11,2,2,2056.742505
2010,11,2,3,1777.641964
2010,11,2,4,1279.584138
2010,11,2,5,1107.554271
2010,11,2,6,690.8074367
2010,11,2,7,417.5308243
2010,11,2,8,178.3017898
2010,11,2,9,49.16739052
2010,11,2,10,54.65532249
2010,11,2,11,78.28702955
2010,11,2,12,132.6063562
2010,11,2,13,215.5973275
2010,11,2,14,410.0269173
2010,11,2,15,691.031434
2010,11,2,16,786.5662497
2010,11,2,17,1002.163577
2010,11,2,18,1331.999489
2010,11,2,19,1675.051236
2010,11,2,20,1554.876726
2010,11,2,21,1704.842867
2010,11,2,22,1829.833317
2010,11,2,23,1813.705517
2010,11,3,0,1814.489508
2010,11,3,1,1706.298849
2010,11,3,2,1612.444012
2010,11,3,3,1541.996885
2010,11,3,4,1499.437413
2010,11,3,5,1253.60046
2010,11,3,6,826.6617527
2010,11,3,7,478.7940649
2010,11,3,8,321.2120182
2010,11,3,9,447.9944467
2010,11,3,10,630.8881795
2010,11,3,11,646.4559865
2010,11,3,12,458.5223161
2010,11,3,13,492.5698941
2010,11,3,14,385.61122
2010,11,3,15,198.6855371
2010,11,3,16,100.2387574
2010,11,3,17,77.50303927
2010,11,3,18,53.64733499
2010,11,3,19,41.99947937
2010,11,3,20,50.28737664
2010,11,3,21,40.20750159
2010,11,3,22,11.87185284
2010,11,3,23,10.07987505
2010,11,4,0,8.399895875
2010,11,4,1,3.023962515
2010,11,4,2,1.567980563
2010,11,4,3,4.479944467
2010,11,4,4,0.559993058
2010,11,4,5,3.35995835
2010,11,4,6,3.023962515
2010,11,4,7,7.167911146
2010,11,4,8,7.167911146
2010,11,4,9,1.455981952
2010,11,4,10,7.279909758
2010,11,4,11,2.799965292
2010,11,4,12,14.4478209
2010,11,4,13,53.64733499
2010,11,4,14,197.2295551
2010,11,4,15,172.7018592
2010,11,4,16,192.8616093
2010,11,4,17,184.6857106
2010,11,4,18,63.16721698
2010,11,4,19,29.00764042
2010,11,4,20,82.76697402
2010,11,4,21,54.87931971
2010,11,4,22,55.10331694
2010,11,4,23,8.73589171
2010,11,5,0,9.295884768
2010,11,5,1,0.895988893
2010,11,5,2,5.599930583
2010,11,5,3,3.919951408
2010,11,5,4,2.351970845
2010,11,5,5,3.023962515
2010,11,5,6,4.143948632
