name,typ,fuel,class,zone,netcap (nameplate),seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,avg heat rate,,,year online
GOLDENDALE_G1,CT,ng,cc,PNW,170,5.721681446,5.982627186,6.243572926,68,170,1,1,2,78.1386606,11900,7.11,,,2004
GOLDENDALE_G2,CA,ng,cc,PNW,114.3,5.721681446,5.982627186,6.243572926,45.72,114.3,1,1,2,52.53675827,8001,7.11,,,2004
GRAYS HARBOR_CT1,CT,ng,cc,PNW,198.9,5.721681446,5.982627186,6.243572926,79.56,198.9,1,1,2,91.4222329,13923,7.11,,,2008
GRAYS HARBOR_CT2,CT,ng,cc,PNW,198.9,5.721681446,5.982627186,6.243572926,79.56,198.9,1,1,2,91.4222329,13923,7.11,,,2008
GRAYS HARBOR_ST1,CA,ng,cc,PNW,300,5.721681446,5.982627186,6.243572926,120,300,1,1,2,137.891754,21000,7.11,,,2008
GRIMES WAY_1,IC,ng,ct,PNW,1.1,7.599111935,7.664136697,7.729161459,0.385,1.1,1,1,3.17,0.463471866,77,9.51,,,2005
GRIMES WAY_2,IC,ng,ct,PNW,1.1,7.599111935,7.664136697,7.729161459,0.385,1.1,1,1,3.17,0.463471866,77,9.51,mixed fuel type,,2005
GRIMES WAY_3,IC,OIL,ct,PNW,1.8,8.489111935,8.554136697,8.619161459,0.63,1.8,1,1,3.17,0.758408508,126,10.4,,,2005
MARCH POINT_GTG1,GT,NG,ct,PNW,46.6,3.809111935,3.874136697,3.939161459,16.31,46.6,1,1,3.17,19.6343536,3262,5.72,,,1991
MARCH POINT_GTG2,GT,NG,ct,PNW,46.6,3.809111935,3.874136697,3.939161459,16.31,46.6,1,1,3.17,19.6343536,3262,5.72,,,1991
MARCH POINT_GTG3,GT,NG,ct,PNW,46.6,3.809111935,3.874136697,3.939161459,16.31,46.6,1,1,3.17,19.6343536,3262,5.72,,,1993
MARCH POINT_STG1,CA,NG,cc,PNW,27,4.331681446,4.592627186,4.853572926,10.8,27,3,3,2,12.41025786,1890,5.72,retired 2015,,1993
MINT FARM_1STG,CA,NG,cc,PNW,133,6.201681446,6.462627186,6.723572926,53.2,133,1,1,2,61.13201094,9310,7.59,,,2008
MINT FARM_CTG1,CT,NG,cc,PNW,186,6.201681446,6.462627186,6.723572926,74.4,186,1,1,2,85.49288748,13020,7.59,,,2008
NORTHEAST_1,GT,NG,cc,PNW,61.8,11.77168145,12.03262719,12.29357293,24.72,61.8,6,6,2,28.40570132,4326,13.16,,,1963
RIVER ROAD,CS,ng,cc,PNW,248,5.931681446,6.192627186,6.453572926,99.2,248,2,2,2,113.9905166,17360,7.32,,,1997
SUMAS_GEN1,CT,NG,cc,PNW,87.8,7.311681446,7.572627186,7.833572926,35.12,87.8,3,3,2,40.35632,6146,8.7,,,1993
SUMAS_GEN2,CA,NG,cc,PNW,37.7,7.311681446,7.572627186,7.833572926,15.08,37.7,3,3,2,17.32839709,2639,8.7,,,1993
UNIV OF WA_DG3,IC,oil,ct,PNW,2,8.489111935,8.554136697,8.619161459,0.7,2,1,1,3.17,0.84267612,140,10.4,,,1993
UNIV OF WA_DG4,IC,oil,ct,PNW,2,8.489111935,8.554136697,8.619161459,0.7,2,1,1,3.17,0.84267612,140,10.4,,,1993
UNIV OF WA_DG5,IC,oil,ct,PNW,2,8.489111935,8.554136697,8.619161459,0.7,2,1,1,3.17,0.84267612,140,10.4,,,1994
