Washington Price of Natural Gas Sold to Commercial Consumers
https://www.eia.gov/dnav/ng/hist/n3020wa3m.htm
15:42:02 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Washington Price of Natural Gas Sold to Commercial Consumers Dollars per Thousand Cubic Feet
Jun 1996,4.77
May 1996,4.78
Apr 1996,4.8
Mar 1996,4.76
Feb 1996,4.76
Jan 1996,4.75
Dec 1995,4.89
Nov 1995,4.89
Oct 1995,4.95
Sep 1995,4.91
Aug 1995,4.95
Jul 1995,5.05
Jun 1995,4.85
May 1995,5.04
Apr 1995,5.06
Mar 1995,5.17
Feb 1995,5.02
Jan 1995,5.04
Dec 1994,5.06
Nov 1994,4.98
Oct 1994,4.78
Sep 1994,5.05
Aug 1994,5.16
Jul 1994,5.02
Jun 1994,4.9
May 1994,4.84
Apr 1994,4.84
Mar 1994,4.89
Feb 1994,4.79
Jan 1994,4.72
Dec 1993,4.16
Nov 1993,4.79
Oct 1993,4.88
Sep 1993,5.08
Aug 1993,5.1
Jul 1993,4.9
Jun 1993,4.76
May 1993,4.61
Apr 1993,4.43
Mar 1993,4.42
Feb 1993,4.45
Jan 1993,4.37
Dec 1992,3.85
Nov 1992,4.44
Oct 1992,4.56
Sep 1992,4.63
Aug 1992,4.69
Jul 1992,4.64
Jun 1992,4.63
May 1992,4.49
Apr 1992,4.39
Mar 1992,4.29
Feb 1992,4.28
Jan 1992,4.24
Dec 1991,4.11
Nov 1991,4.11
Oct 1991,4.22
Sep 1991,4.19
Aug 1991,4.23
Jul 1991,4.23
Jun 1991,4.16
May 1991,4.09
Apr 1991,3.99
Mar 1991,3.93
Feb 1991,3.93
Jan 1991,4.03
Dec 1990,3.95
Nov 1990,4.04
Oct 1990,4.08
Sep 1990,4.18
Aug 1990,4.17
Jul 1990,4.23
Jun 1990,4.67
May 1990,3.87
Apr 1990,4.16
Mar 1990,4.23
Feb 1990,4.05
Jan 1990,4.3
Dec 1989,4.45
Nov 1989,4.63
Oct 1989,4.45
Sep 1989,5.67
Aug 1989,4.66
Jul 1989,4.77
Jun 1989,4.91
May 1989,4.83
Apr 1989,4.7
Mar 1989,4.51
Feb 1989,4.74
Jan 1989,4.67 
