Oregon Price of Natural Gas Sold to Commercial Consumers Monthly
https://www.eia.gov/opendata/qb.php?sdid=NG.N3020OR3.M
15:41:49 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: NG.N3020OR3.M Dollars per Thousand Cubic Feet
Sep 2006,13.06
Aug 2006,13.65
Jul 2006,12.89
Jun 2006,12.89
May 2006,12.12
Apr 2006,12.82
Mar 2006,12.42
Feb 2006,12.97
Jan 2006,13.01
Dec 2005,11.42
Nov 2005,11.7
Oct 2005,11.24
Sep 2005,10.18
Aug 2005,10.01
Jul 2005,10.03
Jun 2005,9.44
May 2005,9.98
Apr 2005,9.91
Mar 2005,10.17
Feb 2005,10.07
Jan 2005,9.98
Dec 2004,10.67
Nov 2004,10.59
Oct 2004,10.13
Sep 2004,9.37
Aug 2004,9.21
Jul 2004,9.05
Jun 2004,8.92
May 2004,8.43
Apr 2004,9.51
Mar 2004,9.07
Feb 2004,8.89
Jan 2004,8.68
Dec 2003,8.47
Nov 2003,8.49
Oct 2003,8.24
Sep 2003,8.03
Aug 2003,8.04
Jul 2003,7.94
Jun 2003,7.38
May 2003,7.34
Apr 2003,7.74
Mar 2003,7.79
Feb 2003,7.76
Jan 2003,7.78
Dec 2002,6.93
Nov 2002,6.91
Oct 2002,7.71
Sep 2002,8.3
Aug 2002,8.26
Jul 2002,8.05
Jun 2002,8.16
May 2002,7.85
Apr 2002,8.11
Mar 2002,8.12
Feb 2002,8.17
Jan 2002,8.15
Dec 2001,9.12
Nov 2001,9.05
Oct 2001,8.55
Sep 2001,8.02
Aug 2001,8.02
Jul 2001,7.94
Jun 2001,7.67
May 2001,7.48
Apr 2001,7.67
Mar 2001,7.77
Feb 2001,7.57
Jan 2001,7.51
Dec 2000,6.63
Nov 2000,6.64
Oct 2000,6.13
Sep 2000,5.57
Aug 2000,5.62
Jul 2000,5.7
Jun 2000,5.42
May 2000,5.34
Apr 2000,5.32
Mar 2000,5.34
Feb 2000,5.39
Jan 2000,10.23
Dec 1999,5.76
Nov 1999,5.49
Oct 1999,7.59
Sep 1999,5.81
Aug 1999,5.83
Jul 1999,5.69
Jun 1999,5.61
May 1999,5.51
Apr 1999,5.51
Mar 1999,5.49
Feb 1999,5.5
Jan 1999,5.38
Dec 1998,5.96
Nov 1998,4.39
Oct 1998,5.48
Sep 1998,5.5
Aug 1998,5.86
Jul 1998,5.71
Jun 1998,5.48
May 1998,5.45
Apr 1998,5.16
Mar 1998,5.13
Feb 1998,5.13
Jan 1998,4.88
Dec 1997,4.66
Nov 1997,4.73
Oct 1997,4.65
Sep 1997,4.8
Aug 1997,4.87
Jul 1997,4.75
Jun 1997,4.78
May 1997,4.61
Apr 1997,4.6
Mar 1997,4.56
Feb 1997,4.54
Jan 1997,4.55
Dec 1996,4.65
Nov 1996,4.82
Oct 1996,5.09
Sep 1996,5.11
Aug 1996,5.09
Jul 1996,5.09
Jun 1996,4.83
May 1996,4.81
Apr 1996,4.92
Mar 1996,4.81
Feb 1996,4.8
Jan 1996,4.81
Dec 1995,4.98
Nov 1995,5.34
Oct 1995,5.42
Sep 1995,5.55
Aug 1995,5.55
Jul 1995,5.46
Jun 1995,5.04
May 1995,5.09
Apr 1995,5.24
Mar 1995,5.22
Feb 1995,5.23
Jan 1995,5.21
Dec 1994,5.34
Nov 1994,5.37
Oct 1994,5.51
Sep 1994,5.8
Aug 1994,6.04
Jul 1994,5.86
Jun 1994,5.61
May 1994,5.56
Apr 1994,5.49
Mar 1994,5.52
Feb 1994,5.5
Jan 1994,5.5
Dec 1993,5.35
Nov 1993,5.25
Oct 1993,5.35
Sep 1993,5.39
Aug 1993,5.54
Jul 1993,5.44
Jun 1993,5.3
May 1993,4.98
Apr 1993,4.78
Mar 1993,4.76
Feb 1993,4.8
Jan 1993,4.79
Dec 1992,4.72
Nov 1992,4.69
Oct 1992,4.73
Sep 1992,4.89
Aug 1992,5.02
Jul 1992,4.95
Jun 1992,4.82
May 1992,4.73
Apr 1992,4.71
Mar 1992,4.68
Feb 1992,4.66
Jan 1992,4.66
Dec 1991,4.67
Nov 1991,4.67
Oct 1991,4.86
Sep 1991,4.96
Aug 1991,4.94
Jul 1991,4.88
Jun 1991,4.73
May 1991,4.69
Apr 1991,4.71
Mar 1991,4.71
Feb 1991,4.73
Jan 1991,4.79
Dec 1990,4.73
Nov 1990,4.76
Oct 1990,4.94
Sep 1990,5.03
Aug 1990,5.08
Jul 1990,5.03
Jun 1990,4.83
May 1990,4.8
Apr 1990,4.79
Mar 1990,4.83
Feb 1990,4.86
Jan 1990,4.86
Dec 1989,4.81
Nov 1989,4.73
Oct 1989,4.74
Sep 1989,4.81
Aug 1989,4.85
Jul 1989,4.79
Jun 1989,4.76
May 1989,4.7
Apr 1989,4.72
Mar 1989,4.71
Feb 1989,4.73
Jan 1989,5.14 
